"article","metric","value"
"example-penguin-subspace","objective",0.236171476151424
"example-penguin-subspace","gradient_norm",4.07510036579723e-08
"example-penguin-subspace","projector_error",4.49295571858244e-08
"example-penguin-subspace","variance_fraction",0.881567969437266
"example-penguin-subspace","rotation_error",1.11022302462516e-16
"example-penguin-subspace","finite_value",0.236171476151424
"example-penguin-subspace","svrg_objective",0.236172859123945
"example-penguin-subspace","svrg_gradient_norm",0.00117354435494639
"example-penguin-subspace","projector_1",0.563699089878159
"example-penguin-subspace","projector_2",0.294039014660986
"example-penguin-subspace","projector_3",0.263592786807063
"example-penguin-subspace","projector_4",0.300003877556903
"example-penguin-subspace","projector_5",0.294039014660986
"example-penguin-subspace","projector_6",0.796699314689942
"example-penguin-subspace","projector_7",-0.228777454949219
"example-penguin-subspace","projector_8",-0.152221715358468
"example-penguin-subspace","projector_9",0.263592786807063
"example-penguin-subspace","projector_10",-0.228777454949219
"example-penguin-subspace","projector_11",0.33179655555548
"example-penguin-subspace","projector_12",0.316049553278033
"example-penguin-subspace","projector_13",0.300003877556903
"example-penguin-subspace","projector_14",-0.152221715358468
"example-penguin-subspace","projector_15",0.316049553278033
"example-penguin-subspace","projector_16",0.307805039876421
"example-stackloss-regression","coefficient_1",17.5238095237968
"example-stackloss-regression","coefficient_2",17.3961181231624
"example-stackloss-regression","coefficient_3",6.56118133392037
"example-stackloss-regression","coefficient_4",7.59210416716691
"example-stackloss-regression","coefficient_5",4.09410340856928
"example-stackloss-regression","coefficient_6",2.4422279918586
"example-stackloss-regression","coefficient_7",-0.815159355756823
"example-stackloss-regression","coefficient_8",-0.586373404939004
"example-stackloss-regression","linear_objective",89.4149807991793
"example-stackloss-regression","huber_objective",56.7219039570301
"example-stackloss-regression","linear_gradient",3.74147492171491e-09
"example-stackloss-regression","huber_gradient",6.02183516393962e-08
"example-stackloss-regression","huber_reference_error",1.73001035719267e-08
"example-stackloss-regression","minimum_weight",0.223215620838451
"example-stackloss-regression","independent_huber_gradient",6.02183357359378e-08
"example-airquality-completion","objective",0.0825298825453702
"example-airquality-completion","gradient_norm",2.19566193710491e-07
"example-airquality-completion","rank_two",0.974004616080045
"example-airquality-completion","column_mean",0.864103158753637
"example-airquality-completion","original_unit_rmse",15.5809731104036
"example-airquality-completion","original_unit_rmse.1",113.248482608387
"example-airquality-completion","original_unit_rmse.2",3.78771534154254
"example-airquality-completion","original_unit_rmse.3",7.12197060152106
"example-airquality-completion","original_unit_rmse.4",33.4454055356572
"example-airquality-completion","original_unit_rmse.5",68.210481624784
"example-airquality-completion","original_unit_rmse.6",3.63510565136007
"example-airquality-completion","original_unit_rmse.7",4.55479675390546
"example-airquality-completion","dense_objective_error",0
"example-covariance-means","log_reference_error",1.185082487247e-15
"example-covariance-means","airm_stationarity",8.84276035869653e-09
"example-covariance-means","lerm_objective",0.400471661914756
"example-covariance-means","airm_objective",0.423170373800546
"example-covariance-means","log_euclidean",0.265188446773553
"example-covariance-means","affine_invariant",0.267186446687937
"example-covariance-means","lerm_mean1",0.877021060920085
"example-covariance-means","lerm_mean2",0.508514756347625
"example-covariance-means","lerm_mean3",0.67062955564083
"example-covariance-means","lerm_mean4",0.407411843271894
"example-covariance-means","lerm_mean5",0.508514756347625
"example-covariance-means","lerm_mean6",0.725754929317793
"example-covariance-means","lerm_mean7",0.501396480396293
"example-covariance-means","lerm_mean8",0.331330277378667
"example-covariance-means","lerm_mean9",0.67062955564083
"example-covariance-means","lerm_mean10",0.501396480396293
"example-covariance-means","lerm_mean11",1.08378210980059
"example-covariance-means","lerm_mean12",0.461277816253622
"example-covariance-means","lerm_mean13",0.407411843271894
"example-covariance-means","lerm_mean14",0.331330277378667
"example-covariance-means","lerm_mean15",0.461277816253622
"example-covariance-means","lerm_mean16",0.55607084404208
"example-covariance-means","airm_mean1",0.866961246370908
"example-covariance-means","airm_mean2",0.499476048774876
"example-covariance-means","airm_mean3",0.65082692992997
"example-covariance-means","airm_mean4",0.396604081799951
"example-covariance-means","airm_mean5",0.499476048774876
"example-covariance-means","airm_mean6",0.720772351361915
"example-covariance-means","airm_mean7",0.486257007646541
"example-covariance-means","airm_mean8",0.323526895250866
"example-covariance-means","airm_mean9",0.65082692992997
"example-covariance-means","airm_mean10",0.486257007646541
"example-covariance-means","airm_mean11",1.05776033257634
"example-covariance-means","airm_mean12",0.446374383242657
"example-covariance-means","airm_mean13",0.396604081799951
"example-covariance-means","airm_mean14",0.323526895250866
"example-covariance-means","airm_mean15",0.446374383242657
"example-covariance-means","airm_mean16",0.550557165169785
"example-tree-constraints","intercept",-6.18568460590556
"example-tree-constraints","log_diameter",1.99066756798108
"example-tree-constraints","log_height",1.00933240959999
"example-tree-constraints","objective",0.00302547487521934
"example-tree-constraints","coefficient_error",4.76495572776514e-07
"example-tree-constraints","feasibility",2.2418930711865e-08
"example-tree-constraints","stationarity",5.15709619061528e-08
"example-tree-constraints","complementarity",0
"example-tree-constraints","dual_feasibility",0
"example-mtcars-proximal","coefficient_1",0
"example-mtcars-proximal","coefficient_2",0
"example-mtcars-proximal","coefficient_3",0
"example-mtcars-proximal","coefficient_4",0
"example-mtcars-proximal","coefficient_5",0
"example-mtcars-proximal","coefficient_6",-0.349218172460445
"example-mtcars-proximal","coefficient_7",-0.475070199569148
"example-mtcars-proximal","coefficient_8",0
"example-mtcars-proximal","coefficient_9",-1.9916132183736
"example-mtcars-proximal","coefficient_10",0
"example-mtcars-proximal","coefficient_11",-0.0772545145517901
"example-mtcars-proximal","coefficient_12",-1.52751966226519
"example-mtcars-proximal","coefficient_13",0.212132763937941
"example-mtcars-proximal","coefficient_14",-2.95748251306162
"example-mtcars-proximal","coefficient_15",0
"example-mtcars-proximal","coefficient_16",0
"example-mtcars-proximal","coefficient_17",-1.64380430554945
"example-mtcars-proximal","coefficient_18",0.549971344720054
"example-mtcars-proximal","coefficient_19",-3.19181104804334
"example-mtcars-proximal","coefficient_20",0.228447662458175
"example-mtcars-proximal","coefficient_21",0
"example-mtcars-proximal","coefficient_22",-1.43335551204957
"example-mtcars-proximal","coefficient_23",0.717998430608696
"example-mtcars-proximal","coefficient_24",-3.40981034503282
"example-mtcars-proximal","coefficient_25",0.585546362579671
"example-mtcars-proximal","kkt_1",0
"example-mtcars-proximal","kkt_2",7.44576859723622e-06
"example-mtcars-proximal","kkt_3",7.97321062551148e-06
"example-mtcars-proximal","kkt_4",6.84435601228106e-06
"example-mtcars-proximal","kkt_5",7.05903883063685e-06
"example-mtcars-proximal","reference_error_1",0
"example-mtcars-proximal","reference_error_2",8.97411419965022e-05
"example-mtcars-proximal","reference_error_3",9.96744592779292e-05
"example-mtcars-proximal","reference_error_4",6.30242668484549e-05
"example-mtcars-proximal","reference_error_5",6.50011143259466e-05
