case,implementation,version,algorithm,seconds,objective,gradient_norm,feasibility,optimum,fn,gradient,termination,device,dtype,transfer_seconds,seed,peak_rss_bytes,baseline_rss_bytes,peak_run_rss_bytes,memory_method,memory_status
eigen,riemtorch,0.6.0,lbfgs,0.64,-5.71067241729412,3.39700239098832e-07,0,-5.71067241729413,26,13,converged_gradient,cpu,float64,0,1,367706112,351780864,367706112,"process RSS sampled every 20 ms; includes interpreter/runtime, may miss brief peaks",sampled
eigen,Pymanopt,2.2.1,Riemannian CG PR+ (default retraction),0.0010277919999999163,-5.710672417294079,7.859144651091598e-07,0.0,-5.710672417294131,41,16,"Terminated - min grad norm reached after 16 iterations, 0.00 seconds.",cpu,float64,0,1,57573376,57573376,57573376,"process RSS sampled every 20 ms; includes interpreter/runtime, may miss brief peaks",sampled
procrustes,riemtorch,0.6.0,lbfgs,0.425,0.379110466951161,2.42015098638004e-08,7.11367755351206e-16,0.379110466951161,20,10,converged_gradient,cpu,float64,0,1,368590848,353533952,368590848,"process RSS sampled every 20 ms; includes interpreter/runtime, may miss brief peaks",sampled
procrustes,Pymanopt,2.2.1,Riemannian CG PR+ (default retraction),0.0008504589999999979,0.3791104669511779,2.3180230040372354e-07,4.0036374687229374e-16,0.3791104669511605,28,12,"Terminated - min grad norm reached after 12 iterations, 0.00 seconds.",cpu,float64,0,1,57491456,57491456,57491456,"process RSS sampled every 20 ms; includes interpreter/runtime, may miss brief peaks",sampled
completion,riemtorch,0.6.0,lbfgs,0.47,2.07865086733064e-13,6.08125550009003e-07,0,0,23,12,converged_gradient,cpu,float64,0,1,365281280,350142464,365281280,"process RSS sampled every 20 ms; includes interpreter/runtime, may miss brief peaks",sampled
completion,Pymanopt,2.2.1,Riemannian CG PR+ (default retraction),0.0061446669999999926,8.639656691221293e-13,7.240021674725352e-07,0.0,0,43,18,"Terminated - min grad norm reached after 18 iterations, 0.01 seconds.",cpu,float64,0,1,57556992,57556992,57556992,"process RSS sampled every 20 ms; includes interpreter/runtime, may miss brief peaks",sampled
spd,riemtorch,0.6.0,lbfgs,0.275,1.31059532715551e-31,5.11505213018407e-16,7.07631108375459e-17,0,3,2,converged_gradient,cpu,float64,0,1,368148480,353779712,368148480,"process RSS sampled every 20 ms; includes interpreter/runtime, may miss brief peaks",sampled
spd,SciPy,1.13.1,BFGS in log-Euclidean coordinates,0.0007463749999999936,0.0,0.0,0.0,0,2,2,Optimization terminated successfully.,cpu,float64,0,1,57491456,57491456,57491456,"process RSS sampled every 20 ms; includes interpreter/runtime, may miss brief peaks",sampled
robust,riemtorch,0.6.0,levenberg_marquardt,0.318,1.79445226877112,9.20236212980532e-08,0,NA,9,5,converged_gradient,cpu,float64,0,1,368230400,352534528,368230400,"process RSS sampled every 20 ms; includes interpreter/runtime, may miss brief peaks",sampled
robust,SciPy,1.13.1,trust-region reflective robust least squares,0.004561999999999983,1.794452268771122,3.973993651728112e-16,0.0,nan,5,4,`gtol` termination condition is satisfied.,cpu,float64,0,1,57966592,57966592,57966592,"process RSS sampled every 20 ms; includes interpreter/runtime, may miss brief peaks",sampled
